N,p,prop_first,prop_second
17,0.2,0.4515570934256055,0.47750865051903113
17,0.2,0.3217993079584775,0.370242214532872
17,0.2,0.2698961937716263,0.29411764705882354
17,0.2,0.4515570934256055,0.47923875432525953
17,0.2,0.3633217993079585,0.43252595155709345
18,0.2,0.4089506172839506,0.42901234567901236
18,0.2,0.2777777777777778,0.4027777777777778
18,0.2,0.30864197530864196,0.5231481481481481
18,0.2,0.3441358024691358,0.41203703703703703
18,0.2,0.2700617283950617,0.2993827160493827
19,0.2,0.3060941828254848,0.4099722991689751
19,0.2,0.4667590027700831,0.5124653739612188
19,0.2,0.3975069252077562,0.4473684210526316
19,0.2,0.37119113573407203,0.47645429362880887
19,0.2,0.45290858725761773,0.45290858725761773
20,0.2,0.40375,0.44125
20,0.2,0.25625,0.435
20,0.2,0.4775,0.4775
20,0.2,0.385,0.4175
20,0.2,0.25875,0.365
21,0.2,0.31519274376417233,0.33900226757369617
21,0.2,0.25396825396825395,0.3945578231292517
21,0.2,0.49206349206349204,0.5147392290249433
21,0.2,0.36394557823129253,0.391156462585034
21,0.2,0.29591836734693877,0.41950113378684806
22,0.2,0.2066115702479339,0.40082644628099173
22,0.2,0.29958677685950413,0.4132231404958678
22,0.2,0.3274793388429752,0.38326446280991733
22,0.2,0.35020661157024796,0.40702479338842973
22,0.2,0.45454545454545453,0.4669421487603306
23,0.2,0.3629489603024575,0.43478260869565216
23,0.2,0.2589792060491493,0.3279773156899811
23,0.2,0.32419659735349715,0.39697542533081287
23,0.2,0.43194706994328924,0.43761814744801514
23,0.2,0.2741020793950851,0.4810964083175803
24,0.2,0.3967013888888889,0.4088541666666667
24,0.2,0.3654513888888889,0.4010416666666667
24,0.2,0.4435763888888889,0.4739583333333333
24,0.2,0.3758680555555556,0.3828125
24,0.2,0.3012152777777778,0.3420138888888889
25,0.2,0.3272,0.456
25,0.2,0.432,0.5424
25,0.2,0.3432,0.4512
25,0.2,0.2808,0.3872
25,0.2,0.2856,0.4216
26,0.2,0.2995562130177515,0.3735207100591716
26,0.2,0.23298816568047337,0.23298816568047337
26,0.2,0.23372781065088757,0.4467455621301775
26,0.2,0.382396449704142,0.4334319526627219
26,0.2,0.20931952662721892,0.3875739644970414
27,0.2,0.23113854595336078,0.3834019204389575
27,0.2,0.38751714677640603,0.4156378600823045
27,0.2,0.4691358024691358,0.4766803840877915
27,0.2,0.4101508916323731,0.4499314128943759
27,0.2,0.22359396433470508,0.4170096021947874
28,0.2,0.3080357142857143,0.4119897959183674
28,0.2,0.39285714285714285,0.39285714285714285
28,0.2,0.3979591836734694,0.41709183673469385
28,0.2,0.2582908163265306,0.42793367346938777
28,0.2,0.36096938775510207,0.39413265306122447
29,0.2,0.25921521997621877,0.3281807372175981
29,0.2,0.2544589774078478,0.3590963139120095
29,0.2,0.22829964328180738,0.4304399524375743
29,0.2,0.36504161712247324,0.3923900118906064
29,0.2,0.32045184304399527,0.34185493460166466
30,0.2,0.15444444444444444,0.47
30,0.2,0.35777777777777775,0.3972222222222222
30,0.2,0.22944444444444445,0.2911111111111111
30,0.2,0.14444444444444443,0.3638888888888889
